funcid,dim,milestone,error
26,10,1,2.137578e+03
26,10,2,2.137578e+03
26,10,3,2.137578e+03
26,10,5,2.137578e+03
26,10,10,2.137578e+03
26,10,20,2.137578e+03
26,10,30,2.137578e+03
26,10,40,2.137578e+03
26,10,50,2.137578e+03
26,10,60,2.137578e+03
26,10,70,2.137578e+03
26,10,80,2.137578e+03
26,10,90,2.137578e+03
26,10,100,2.137578e+03
26,10,1,7.130750e+02
26,10,2,7.130750e+02
26,10,3,7.130750e+02
26,10,5,7.091324e+02
26,10,10,6.433033e+02
26,10,20,6.433033e+02
26,10,30,6.433033e+02
26,10,40,6.433033e+02
26,10,50,6.433033e+02
26,10,60,6.379528e+02
26,10,70,6.379528e+02
26,10,80,6.358750e+02
26,10,90,6.333185e+02
26,10,100,6.307217e+02
